IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y
30203898,FRAUD,"FORGERY, CREDIT CARD",Tuesday,2/18/03,16:30,NORTHERN,NONE,2800 Block of VAN NESS AV,-122.424612993055,37.8014488257836
38261,WARRANTS,WARRANT ARREST,Thursday,4/17/03,22:45,NORTHERN,"ARREST, BOOKED",POLK ST / SUTTER ST,-122.420120319211,37.7877570602182
30203901,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,2/18/03,16:05,NORTHERN,NONE,VAN NESS AV / MCALLISTER ST,-122.420250482610,37.7800745746105
30203923,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,2/18/03,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.390718076188,37.7385560584619
30203923,OTHER OFFENSES,CONSPIRACY,Tuesday,2/18/03,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.390718076188,37.7385560584619
30203923,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,2/18/03,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.390718076188,37.7385560584619
324684,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,3/31/03,22:08,NORTHERN,"ARREST, BOOKED",POST ST / FILLMORE ST,-122.433084166809,37.7851499161314
324684,WARRANTS,WARRANT ARREST,Monday,3/31/03,22:08,NORTHERN,"ARREST, BOOKED",POST ST / FILLMORE ST,-122.433084166809,37.7851499161314
335471,WARRANTS,WARRANT ARREST,Saturday,2/22/03,17:35,MISSION,"ARREST, BOOKED",25TH ST / GUERRERO ST,-122.422727873548,37.7503729275448
454598,WARRANTS,WARRANT ARREST,Tuesday,4/1/03,15:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
474320,WARRANTS,WARRANT ARREST,Wednesday,4/16/03,0:40,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.411451390903,37.7831610223684
522662,VEHICLE THEFT,STOLEN TRUCK,Monday,3/17/03,15:38,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
522662,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,3/17/03,15:38,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
644777,WARRANTS,WARRANT ARREST,Thursday,3/6/03,19:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
668705,WARRANTS,WARRANT ARREST,Friday,3/28/03,10:00,BAYVIEW,"ARREST, BOOKED",1200 Block of PALOU AV,-122.383963438860,37.7299972589437
728547,WARRANTS,WARRANT ARREST,Tuesday,3/18/03,16:40,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
767244,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,6/29/03,7:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.418216140593,37.7832571722888
767244,DRUG/NARCOTIC,VISITING WHERE DRUGS ARE USED OR SMOKED,Sunday,6/29/03,7:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.418216140593,37.7832571722888
767244,OTHER OFFENSES,CONSPIRACY,Sunday,6/29/03,7:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.418216140593,37.7832571722888
793045,WARRANTS,WARRANT ARREST,Monday,5/19/03,6:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
805991,WARRANTS,WARRANT ARREST,Tuesday,4/29/03,13:40,NORTHERN,"ARREST, BOOKED",800 Block of VAN NESS AV,-122.420899861106,37.7830998598518
